z , j_6 , j_100 , j_200 , j_500 , j_1000 , 
294.459 , 0.00238743 , -0.00242286 , 0.00391139 , 0 , 0 , 
294.659 , 0.00185867 , -0.00285098 , 0.00396339 , 0 , 0 , 
294.859 , 0.00125658 , -0.00317808 , 0.00393037 , 0 , 0 , 
295.059 , 0.000605238 , -0.00339272 , 0.00381305 , 0 , 0 , 
295.259 , -6.933e-05 , -0.00348748 , 0.00361395 , 0 , 0 , 
295.459 , -0.000740214 , -0.00345919 , 0.00333739 , 0 , 0 , 
295.659 , -0.00138071 , -0.00330898 , 0.00298934 , 0 , 0 , 
295.859 , -0.00196535 , -0.00304229 , 0.00257731 , 0 , 0 , 
296.059 , -0.00247089 , -0.00266864 , 0.0021102 , 0 , 0 , 
296.259 , -0.0028773 , -0.00220135 , 0.00159813 , 0 , 0 , 
296.459 , -0.00316855 , -0.00165703 , 0.00105218 , 0 , 0 , 
296.659 , -0.0033332 , -0.00105497 , 0.000484175 , 0 , 0 , 
296.859 , -0.00336485 , -0.000416491 , -9.35595e-05 , 0 , 0 , 
297.059 , -0.00326239 , 0.000235841 , -0.000668483 , 0 , 0 , 
297.259 , -0.00303009 , 0.000878959 , -0.0012281 , 0 , 0 , 
297.459 , -0.00267741 , 0.00149017 , -0.00176024 , 0 , 0 , 
297.66 , -0.00221856 , 0.00204794 , -0.00225333 , 0 , 0 , 
297.86 , -0.00167193 , 0.00253261 , -0.00269662 , 0 , 0 , 
298.06 , -0.00105942 , 0.00292714 , -0.00308044 , 0 , 0 , 
298.26 , -0.000405537 , 0.00321769 , -0.00339642 , 0 , 0 , 
298.46 , 0.00026362 , 0.00339413 , -0.00363768 , 0 , 0 , 
298.66 , 0.000921386 , 0.00345037 , -0.00379894 , 0 , 0 , 
298.86 , 0.00154157 , 0.00338454 , -0.00387669 , 0 , 0 , 
299.06 , 0.00209951 , 0.00319909 , -0.00386923 , 0 , 0 , 
299.26 , 0.00257305 , 0.00290074 , -0.00377675 , 0 , 0 , 
299.46 , 0.00294346 , 0.00250019 , -0.00360132 , 0 , 0 , 
299.66 , 0.00319613 , 0.00201173 , -0.00334682 , 0 , 0 , 
299.86 , 0.00332115 , 0.00145272 , -0.00301888 , 0 , 0 , 
300.06 , 0.00331365 , 0.000843029 , -0.00262474 , 0 , 0 , 
300.26 , 0.00317416 , 0.00020432 , -0.00217313 , 0 , 0 , 
300.46 , 0.00290843 , -0.000440767 , -0.00167408 , 0 , 0 , 
300.66 , 0.0025272 , -0.00106939 , -0.00113862 , 0 , 0 , 
300.86 , 0.00204578 , -0.00165932 , -0.000578635 , 0 , 0 , 
301.06 , 0.00148348 , -0.00218966 , -6.55778e-06 , 0 , 0 , 
301.26 , 0.000862846 , -0.00264173 , 0.0005649 , 0 , 0 , 
301.46 , 0.000208669 , -0.00299959 , 0.00112304 , 0 , 0 , 
301.66 , -0.000452961 , -0.00325069 , 0.00165544 , 0 , 0 , 
301.86 , -0.00109568 , -0.00338623 , 0.00215024 , 0 , 0 , 
302.06 , -0.00169388 , -0.00340151 , 0.00259643 , 0 , 0 , 
302.26 , -0.0022238 , -0.00329618 , 0.00298404 , 0 , 0 , 
302.46 , -0.00266444 , -0.0030741 , 0.00330444 , 0 , 0 , 
302.661 , -0.00299837 , -0.00274329 , 0.00355049 , 0 , 0 , 
302.861 , -0.0032124 , -0.00231559 , 0.00371669 , 0 , 0 , 
303.061 , -0.00329814 , -0.00180628 , 0.00379932 , 0 , 0 , 
303.261 , -0.00325239 , -0.00123355 , 0.00379657 , 0 , 0 , 
303.461 , -0.00307714 , -0.000617809 , 0.00370854 , 0 , 0 , 
303.661 , -0.00277955 , 1.90594e-05 , 0.00353721 , 0 , 0 , 
303.861 , -0.0023716 , 0.000654418 , 0.00328648 , 0 , 0 , 
304.061 , -0.00186969 , 0.00126569 , 0.002962 , 0 , 0 , 
304.261 , -0.00129397 , 0.00183121 , 0.00257114 , 0 , 0 , 
304.461 , -0.000667462 , 0.00233094 , 0.00212273 , 0 , 0 , 
304.661 , -1.51804e-05 , 0.00274722 , 0.00162693 , 0 , 0 , 
304.861 , 0.000636856 , 0.00306533 , 0.00109497 , 0 , 0 , 
305.061 , 0.00126265 , 0.00327406 , 0.000538908 , 9.88131e-324 , 0 , 
305.261 , 0.00183733 , 0.00336616 , -2.86397e-05 , -2.96439e-323 , 0 , 
305.461 , 0.00233806 , 0.00333848 , -0.000594793 , 6.91692e-323 , 0 , 
305.661 , 0.00274501 , 0.00319215 , -0.00114669 , -5.43472e-323 , 0 , 
305.861 , 0.00304205 , 0.00293247 , -0.00167179 , -2.91499e-322 , 0 , 
306.061 , 0.00321749 , 0.00256883 , -0.00215815 , 1.73417e-321 , 0 , 
306.261 , 0.00326453 , 0.0021143 , -0.00259469 , -5.73116e-321 , 0 , 
306.461 , 0.00318148 , 0.00158515 , -0.00297149 , 1.22182e-320 , 0 , 
306.661 , 0.00297179 , 0.00100028 , -0.00327996 , -7.38134e-321 , 0 , 
306.861 , 0.00264396 , 0.00038056 , -0.00351307 , -6.24548e-320 , 0 , 
307.061 , 0.00221121 , -0.000251887 , -0.00366552 , 3.38697e-319 , 0 , 
307.261 , 0.00169095 , -0.000874538 , -0.00373384 , -1.0743e-318 , 0 , 
307.461 , 0.00110401 , -0.00146525 , -0.00371651 , 2.16098e-318 , 0 , 
307.662 , 0.000473845 , -0.00200302 , -0.00361394 , -7.87966e-319 , 0 , 
307.862 , -0.000174389 , -0.00246873 , -0.00342852 , -1.31556e-317 , 0 , 
308.062 , -0.000814823 , -0.00284589 , -0.00316453 , 6.5846e-317 , 0 , 
308.262 , -0.00142196 , -0.00312118 , -0.00282809 , -2.00457e-316 , 0 , 
308.462 , -0.00197168 , -0.00328491 , -0.00242696 , 3.78355e-316 , 0 , 
308.662 , -0.00244214 , -0.00333135 , -0.00197042 , -3.49318e-317 , 0 , 
308.862 , -0.00281467 , -0.00325897 , -0.00146899 , -2.73063e-315 , 0 , 
309.062 , -0.00307458 , -0.0030705 , -0.000934302 , 1.27434e-314 , 0 , 
309.262 , -0.00321168 , -0.00277281 , -0.00037871 , -3.72373e-314 , 0 , 
309.462 , -0.00322066 , -0.00237663 , 0.000184925 , 6.54729e-314 , 0 , 
309.662 , -0.00310133 , -0.00189619 , 0.00074355 , 1.46032e-314 , 0 , 
309.862 , -0.00285856 , -0.00134872 , 0.00128421 , -5.60008e-313 , 0 , 
310.062 , -0.00250222 , -0.000753852 , 0.00179438 , 2.45562e-312 , 0 , 
310.262 , -0.00204668 , -0.000132853 , 0.00226221 , -6.885e-312 , 0 , 
310.462 , -0.00151018 , 0.00049209 , 0.00267687 , 1.1172e-311 , 0 , 
310.662 , -0.000914205 , 0.00109867 , 0.0030287 , 6.6844e-312 , 0 , 
310.862 , -0.000282566 , 0.00166524 , 0.00330955 , -1.13698e-310 , 0 , 
311.062 , 0.000359508 , 0.00217162 , 0.00351288 , 4.71221e-310 , 0 , 
311.262 , 0.000986433 , 0.0025998 , 0.00363401 , -1.2667e-309 , 0 , 
311.462 , 0.00157327 , 0.00293461 , 0.00367012 , 1.87375e-309 , 0 , 
311.662 , 0.00209667 , 0.00316415 , 0.00362041 , 1.98796e-309 , 0 , 
311.862 , 0.00253584 , 0.00328033 , 0.00348605 , -2.28862e-308 , 0 , 
312.062 , 0.00287343 , 0.00327917 , 0.00327024 , 9.00569e-308 , 0 , 
