  x  ,    Xe  ,   ne   , 
-45.8633 , 1.25242e-25 , 1.79293e+34 , 
-45.8628 , 1.25242e-25 , 1.79019e+34 , 
-45.8623 , 1.25242e-25 , 1.78745e+34 , 
-45.8618 , 1.25242e-25 , 1.78471e+34 , 
-45.8613 , 1.25242e-25 , 1.78198e+34 , 
-45.8608 , 1.25242e-25 , 1.77925e+34 , 
-45.8603 , 1.25242e-25 , 1.77653e+34 , 
-45.8597 , 1.25242e-25 , 1.77381e+34 , 
-45.8592 , 1.25242e-25 , 1.7711e+34 , 
-45.8587 , 1.25242e-25 , 1.76839e+34 , 
-45.8582 , 1.25242e-25 , 1.76568e+34 , 
-45.8577 , 1.25242e-25 , 1.76298e+34 , 
-45.8572 , 1.25242e-25 , 1.76028e+34 , 
-45.8567 , 1.25242e-25 , 1.75759e+34 , 
-45.8562 , 1.25242e-25 , 1.7549e+34 , 
-45.8557 , 1.25242e-25 , 1.75221e+34 , 
-45.8552 , 1.25242e-25 , 1.74953e+34 , 
-45.8546 , 1.25242e-25 , 1.74685e+34 , 
-45.8541 , 1.25242e-25 , 1.74418e+34 , 
-45.8536 , 1.25242e-25 , 1.74151e+34 , 
-45.8531 , 1.25242e-25 , 1.73884e+34 , 
-45.8526 , 1.25242e-25 , 1.73618e+34 , 
-45.8521 , 1.25242e-25 , 1.73353e+34 , 
-45.8516 , 1.25242e-25 , 1.73087e+34 , 
-45.8511 , 1.25242e-25 , 1.72822e+34 , 
-45.8506 , 1.25242e-25 , 1.72558e+34 , 
-45.85 , 1.25242e-25 , 1.72294e+34 , 
-45.8495 , 1.25242e-25 , 1.7203e+34 , 
-45.849 , 1.25242e-25 , 1.71767e+34 , 
-45.8485 , 1.25242e-25 , 1.71504e+34 , 
-45.848 , 1.25242e-25 , 1.71242e+34 , 
-45.8475 , 1.25242e-25 , 1.7098e+34 , 
-45.847 , 1.25242e-25 , 1.70718e+34 , 
-45.8465 , 1.25242e-25 , 1.70457e+34 , 
-45.846 , 1.25242e-25 , 1.70196e+34 , 
-45.8455 , 1.25242e-25 , 1.69935e+34 , 
-45.8449 , 1.25242e-25 , 1.69675e+34 , 
-45.8444 , 1.25242e-25 , 1.69416e+34 , 
-45.8439 , 1.25242e-25 , 1.69156e+34 , 
-45.8434 , 1.25242e-25 , 1.68897e+34 , 
-45.8429 , 1.25242e-25 , 1.68639e+34 , 
-45.8424 , 1.25242e-25 , 1.68381e+34 , 
-45.8419 , 1.25242e-25 , 1.68123e+34 , 
-45.8414 , 1.25242e-25 , 1.67866e+34 , 
-45.8409 , 1.25242e-25 , 1.67609e+34 , 
-45.8403 , 1.25242e-25 , 1.67352e+34 , 
-45.8398 , 1.25242e-25 , 1.67096e+34 , 
-45.8393 , 1.25242e-25 , 1.66841e+34 , 
-45.8388 , 1.25242e-25 , 1.66585e+34 , 
-45.8383 , 1.25242e-25 , 1.6633e+34 , 
-45.8378 , 1.25242e-25 , 1.66076e+34 , 
-45.8373 , 1.25242e-25 , 1.65822e+34 , 
-45.8368 , 1.25242e-25 , 1.65568e+34 , 
-45.8363 , 1.25242e-25 , 1.65314e+34 , 
-45.8358 , 1.25242e-25 , 1.65061e+34 , 
-45.8352 , 1.25242e-25 , 1.64809e+34 , 
-45.8347 , 1.25242e-25 , 1.64557e+34 , 
-45.8342 , 1.25242e-25 , 1.64305e+34 , 
-45.8337 , 1.25242e-25 , 1.64053e+34 , 
-45.8332 , 1.25242e-25 , 1.63802e+34 , 
-45.8327 , 1.25242e-25 , 1.63552e+34 , 
-45.8322 , 1.25242e-25 , 1.63301e+34 , 
-45.8317 , 1.25242e-25 , 1.63051e+34 , 
-45.8312 , 1.25242e-25 , 1.62802e+34 , 
-45.8306 , 1.25242e-25 , 1.62553e+34 , 
-45.8301 , 1.25242e-25 , 1.62304e+34 , 
-45.8296 , 1.25242e-25 , 1.62056e+34 , 
-45.8291 , 1.25242e-25 , 1.61808e+34 , 
-45.8286 , 1.25242e-25 , 1.6156e+34 , 
-45.8281 , 1.25242e-25 , 1.61313e+34 , 
-45.8276 , 1.25242e-25 , 1.61066e+34 , 
-45.8271 , 1.25242e-25 , 1.60819e+34 , 
-45.8266 , 1.25242e-25 , 1.60573e+34 , 
-45.8261 , 1.25242e-25 , 1.60327e+34 , 
-45.8255 , 1.25242e-25 , 1.60082e+34 , 
-45.825 , 1.25242e-25 , 1.59837e+34 , 
-45.8245 , 1.25242e-25 , 1.59592e+34 , 
-45.824 , 1.25242e-25 , 1.59348e+34 , 
-45.8235 , 1.25242e-25 , 1.59104e+34 , 
-45.823 , 1.25242e-25 , 1.58861e+34 , 
-45.8225 , 1.25242e-25 , 1.58618e+34 , 
