 ell ,  cell_TT , 
984 , 1753.29 , 
985 , 1757.24 , 
986 , 1761.07 , 
987 , 1764.77 , 
988 , 1768.36 , 
989 , 1771.81 , 
990 , 1775.12 , 
991 , 1778.3 , 
992 , 1781.34 , 
993 , 1784.22 , 
994 , 1786.96 , 
995 , 1789.55 , 
996 , 1791.97 , 
997 , 1794.23 , 
998 , 1796.33 , 
999 , 1798.26 , 
1000 , 1800.01 , 
1001 , 1801.58 , 
1002 , 1802.97 , 
1003 , 1804.18 , 
1004 , 1805.22 , 
1005 , 1806.09 , 
1006 , 1806.78 , 
1007 , 1807.3 , 
1008 , 1807.64 , 
1009 , 1807.82 , 
1010 , 1807.82 , 
1011 , 1807.66 , 
1012 , 1807.33 , 
1013 , 1806.83 , 
1014 , 1806.17 , 
1015 , 1805.34 , 
1016 , 1804.35 , 
1017 , 1803.21 , 
1018 , 1801.9 , 
1019 , 1800.43 , 
1020 , 1798.8 , 
1021 , 1797.02 , 
1022 , 1795.09 , 
1023 , 1793 , 
1024 , 1790.76 , 
1025 , 1788.36 , 
1026 , 1785.82 , 
1027 , 1783.13 , 
1028 , 1780.3 , 
1029 , 1777.32 , 
1030 , 1774.19 , 
1031 , 1770.93 , 
1032 , 1767.52 , 
1033 , 1763.97 , 
1034 , 1760.29 , 
1035 , 1756.47 , 
1036 , 1752.51 , 
1037 , 1748.43 , 
1038 , 1744.21 , 
1039 , 1739.86 , 
1040 , 1735.38 , 
1041 , 1730.78 , 
1042 , 1726.05 , 
1043 , 1721.19 , 
1044 , 1716.22 , 
1045 , 1711.13 , 
1046 , 1705.91 , 
1047 , 1700.59 , 
1048 , 1695.14 , 
1049 , 1689.58 , 
1050 , 1683.92 , 
1051 , 1678.14 , 
1052 , 1672.25 , 
1053 , 1666.27 , 
1054 , 1660.18 , 
1055 , 1654 , 
1056 , 1647.72 , 
1057 , 1641.35 , 
1058 , 1634.9 , 
1059 , 1628.36 , 
1060 , 1621.74 , 
1061 , 1615.04 , 
1062 , 1608.27 , 
1063 , 1601.43 , 
1064 , 1594.53 , 
1065 , 1587.56 , 
1066 , 1580.53 , 
1067 , 1573.45 , 
1068 , 1566.31 , 
1069 , 1559.13 , 
1070 , 1551.89 , 
1071 , 1544.62 , 
1072 , 1537.31 , 
1073 , 1529.97 , 
1074 , 1522.59 , 
1075 , 1515.19 , 
1076 , 1507.77 , 
1077 , 1500.33 , 
1078 , 1492.87 , 
1079 , 1485.4 , 
1080 , 1477.92 , 
